3 3 2 3 4 3 3 3   2 3 4 2 2 3 3 311 
3 5   4 3 3 3 5 8 4 4 4 3 4 4 3 242 
2 3 2 2 3 4 4 3 7 2 4   1 6 2 2 241 
5   4 6 4 5 4 4 8 4 5 4 4 4 4 4 232 
4 6 6 3 4 5 4 4 7 2 3 2 2 3 3 3 242 
6 5   5 4   3 4 9 4 4 1 3 2 3 1 241 
5 5 5 5 3   5 5 9 5 5 5 5 5 5 5 442 
5 1 3 2 4 6 5 5 9 3 4 6 2 5 2 4 262 
5 5   5 6 6 6 6 9 4 6 4 4 3 4 4 212 
6 4 2 2 3 4 1 3   1 3 5 5 4 4 6 24  
4 3 3 3 3 4 4 4 8 4 2 5 5 5 4 4 511 
6 5 5 6 3 5 6 6 8 4 4 4 4 6 3 4 182 
5 5 5 1 3 1 2 4 9 3 4 4 4 3 5   0 2 
6 5 6 5 3 5 6 6 9 5 4 2 4 3 3 4 372 
4 4 3 3 3 4 3 3   4 3 2 3 3 3 2 292 
4 4 4 4 4 4 4 5 6 4 4 4 5 5 5 5 0 2 
3 3 4 4 3 4 4 4 5 4 4   3 5 5 3 182 
3 4 3 3 4 3 3 4 3 3 4 3 4 4 4 4 342 
5 5 5 5 2 6 6 6 7 6 5 5 5 5 5 3 342 
6 6 6   5 6 6 6 7 6 6 6 6 6 6 6 202 
5 5 5 6 4 6 6 5 5 4 3 4 4 4 4 4 282 
5 5 4 4 5 6 6 4 6 5 4 5 5 5 5 5 341 
4 3 6 5 5   3 3 6 4 3 2 3 5 4 3 362 
4 4 3 2 2 3 4 4   6 6 5 4 4 5 5 262 
4 3 3 4 4 3 4 4 3 3 4 4 4 4 4 4 291 
5   1 1 2 5 3 4 5 1 3 4 5 2 2 3 412 
4 3 2 2 3 4 3 3 5 3 3 2 3 3 3 2 322 
5 4 6 4 3 5 3 3 6 3 2 2 4 2 3 3 342 
5 5 6 5 3 5 4 4 3 5 4 4 5 3 4 4 322 
3 4 4 3 4 3 3 3 3 3 3 3 3 3 3 3 352 
5 4 6 6 2 5 6 6 5 4 4 5 5 5   4 322 
3 3 3 4 3 4 4 4 3 3 3 4 4 4 4 4 352 
3 3   3 2 2 4 3 5 3 3 3 4 4 2 2 442 
5 5 3 3 4 4 3 4 5 4 4 3 4 3 4 4 272 
2 2 2   1 2 1 2 1 1   1 1 2 2 1 452 
1 3 6 2 1 2 2 1 5 3 4 3 5 4 3 2 232 
5 5 5 6 5 5 6   3 3 5 3 5 3 4 2 0 2 
5 4 3 2 2 2 4 4 3 2 2 3 3 4 4 3 362 
3 4 3 3 3 3 3 3 5 4   4 3 3 3 3 382 
5 3 4 4 3 4 5 5 5 4 4 3 3 3 3 3 582 
4 3 3 3 3 4 4 4 5   4 4 3 4 4 3 0 2 
3 3 3 3 3 4 4 4 3 3 4 3 4 3 4 3 402 
5 4 5 4 4 4 5 4 3 4 4 4 5 4   4 0 2 
